Date,h,m,s,ms,Time,Wind,Auto,event,sex,Athlete,Nationality
"August 17, 1988",00,00,09,93,00:00:09.93,1.1,NA,100,m,Carl Lewis,United States
"August 17, 1988",00,00,43,29,00:00:43.29,NA,NA,400,m,Butch Reynolds,United States
"August 18, 1968",00,00,11,10,00:00:11.10,NA,NA,100,w,Margaret Bailes,United States
"August 18, 1989",00,27,08,23,00:27:08.23,NA,NA,10000,m,Arturo Barrios (MEX),NA
"August 18, 2006",00,00,09,77,00:00:09.77,1.0,9.762,100,m,Asafa Powell,Jamaica
"August 2, 1932",00,00,11,90,00:00:11.90,NA,NA,100,w,Hilda Strike,Canada
"August 2, 1970",00,00,11,00,00:00:11.00,1.9,NA,100,w,Renate Meißner,East Germany
"August 20, 1922",00,00,12,80,00:00:12.80,NA,NA,100,w,Mary Lines,United Kingdom
"August 22, 1920",02,32,35,80,02:32:35.80,NA,NA,marathon,m,Hannes Kolehmainen,Finland
"August 22, 1926",00,00,12,40,00:00:12.40,NA,NA,100,w,Gundel Wittmann,Germany
"August 22, 1950",00,00,45,80,00:00:45.80,NA,NA,400,m,George Rhoden,Jamaica
"August 22, 1975",00,00,09,90,00:00:09.90,−0.2,NA,100,m,Steve Williams,United States
"August 22, 1984",00,00,10,76,00:00:10.76,1.7,NA,100,w,Evelyn Ashford,United States
"August 22, 1997",00,26,27,85,00:26:27.85,NA,NA,10000,m,Paul Tergat (KEN),NA
"August 23, 1996",00,26,38,08,00:26:38.08,NA,NA,10000,m,Salah Hissou (MAR),NA
"August 24, 1958",02,15,17,00,02:15:17.00,NA,NA,marathon,m,Sergei Popov,Soviet Union
"August 25, 1929",00,00,10,40,00:00:10.40,NA,NA,100,m,Eddie Tolan,United States
"August 25, 1944",00,29,35,40,00:29:35.40,NA,NA,10000,m,Viljo Heino (FIN),NA
"August 25, 1951",00,00,10,20,00:00:10.20,0.0,NA,100,m,McDonald Bailey,Great Britain
"August 25, 1991",00,00,09,86,00:00:09.86,1.2 [a],NA,100,m,Carl Lewis,United States
"August 26, 1906",00,00,10,60,00:00:10.60,NA,NA,100,m,Knut Lindberg,Sweden
"August 26, 1934",00,00,10,30,00:00:10.30,NA,NA,100,m,Chris Berger,Netherlands
"August 26, 1934",00,00,11,70,00:00:11.70,NA,NA,100,w,Stanisława Walasiewicz[2],Poland
"August 26, 1999",00,00,43,18,00:00:43.18,NA,NA,400,m,Michael Johnson,United States
"August 26, 2005",00,26,17,53,00:26:17.53,NA,NA,10000,m,Kenenisa Bekele (ETH),NA
"August 28, 1895",00,00,10,80,00:00:10.80,NA,NA,100,m,Harry Beaton,United Kingdom
"August 29, 1926",00,00,12,20,00:00:12.20,NA,NA,100,w,Leni Junker,Germany
"August 3, 1956",00,00,10,10,00:00:10.10,0.7,NA,100,m,Willie Williams,United States
"August 30, 1925",00,00,12,40,00:00:12.40,NA,NA,100,w,Leni Schmidt,Germany
"August 30, 1987",00,00,09,83,00:00:09.83,1.0,NA,100,m,Ben Johnson,Canada
"August 30, 1987",00,00,09,93,00:00:09.93,1.0,NA,100,m,Carl Lewis,United States
"August 31, 1909",02,40,34,20,02:40:34.20,NA,NA,marathon,m,Thure Johansson,Sweden
"August 31, 1924",00,30,06,20,00:30:06.20,NA,NA,10000,m,Paavo Nurmi (FIN),NA
"August 31, 1930",00,00,12,00,00:00:12.00,NA,NA,100,w,Tollien Schuurman,Netherlands
"August 4, 1893",00,00,10,80,00:00:10.80,NA,NA,100,m,Étienne De Ré,Belgium
"August 4, 1950",00,29,02,60,00:29:02.60,NA,NA,10000,m,Emil Zátopek (CZE),NA
"August 4, 1955",00,00,11,30,00:00:11.30,1.4,NA,100,w,Shirley Strickland,Australia
"August 4, 1956",00,00,10,10,00:00:10.10,1.0,NA,100,m,Ira Murchison,United States
"August 5, 1922",00,00,13,60,00:00:13.60,NA,NA,100,w,Marie Mejzlíková II,Czechoslovakia
"August 5, 1932",00,00,46,20,00:00:46.20,NA,46.28,400,m,Bill Carr,United States
"August 6, 1934",00,00,10,30,00:00:10.30,NA,NA,100,m,Eulace Peacock,United States
"August 8, 1929",00,00,10,40,00:00:10.40,0.0,NA,100,m,Eddie Tolan,United States
"August 9, 1896",00,00,10,80,00:00:10.80,NA,NA,100,m,Harald Anderson-Arbin,Sweden
"August 9, 1903",00,00,10,80,00:00:10.80,NA,NA,100,m,Eric Frick,Sweden
"August 9, 1930",00,00,10,30,00:00:10.30,NA,NA,100,m,Percy Williams,Canada
"December 1, 1974",02,43,54,50,02:43:54.50,NA,NA,marathon,w,Jacqueline Hansen,United States
"December 16, 1963",03,37,07,00,03:37:07.00,NA,NA,marathon,w,Merry Lepper,United States
