"County"	"id"	sun
"Ouray County, CO"	"08091"	16858.75
"Park County, CO"	"08093"	17155.41
"Phillips County, CO"	"08095"	16758.18
"Pitkin County, CO"	"08097"	16775.31
"Prowers County, CO"	"08099"	17896.93
"Pueblo County, CO"	"08101"	18039.87
"Rio Blanco County, CO"	"08103"	17157.66
"Rio Grande County, CO"	"08105"	18313.66
"Routt County, CO"	"08107"	17439.40
"Saguache County, CO"	"08109"	17620.36
"San Juan County, CO"	"08111"	17073.04
"San Miguel County, CO"	"08113"	16986.60
"Sedgwick County, CO"	"08115"	16540.10
"Summit County, CO"	"08117"	16792.00
"Teller County, CO"	"08119"	17055.75
"Washington County, CO"	"08121"	17165.86
"Weld County, CO"	"08123"	16879.48
"Yuma County, CO"	"08125"	17007.43
"Fairfield County, CT"	"09001"	15316.04
"Hartford County, CT"	"09003"	14602.99
"Litchfield County, CT"	"09005"	14603.11
"Middlesex County, CT"	"09007"	15113.26
"New Haven County, CT"	"09009"	15141.35
"New London County, CT"	"09011"	15177.64
"Tolland County, CT"	"09013"	14603.96
"Windham County, CT"	"09015"	14664.88
"Kent County, DE"	"10001"	15809.41
"New Castle County, DE"	"10003"	15335.57
"Sussex County, DE"	"10005"	15936.01
"District of Columbia, DC"	"11001"	15265.36
"Alachua County, FL"	"12001"	18028.29
"Baker County, FL"	"12003"	17777.25
"Bay County, FL"	"12005"	17953.44
"Bradford County, FL"	"12007"	17865.16
"Brevard County, FL"	"12009"	20368.38
"Broward County, FL"	"12011"	19082.85
"Calhoun County, FL"	"12013"	17609.41
"Charlotte County, FL"	"12015"	19327.28
"Citrus County, FL"	"12017"	18340.82
"Clay County, FL"	"12019"	18033.74
"Collier County, FL"	"12021"	19369.97
"Columbia County, FL"	"12023"	17817.18
"Dade County, FL"	"12025"	19744.21
"DeSoto County, FL"	"12027"	18780.27
"Dixie County, FL"	"12029"	19718.03
"Duval County, FL"	"12031"	18463.58
"Escambia County, FL"	"12033"	17640.27
"Flagler County, FL"	"12035"	18848.00
"Franklin County, FL"	"12037"	19847.26
"Gadsden County, FL"	"12039"	17673.29
"Gilchrist County, FL"	"12041"	17930.12
"Glades County, FL"	"12043"	19359.51
"Gulf County, FL"	"12045"	18811.22
"Hamilton County, FL"	"12047"	17795.58
"Hardee County, FL"	"12049"	18765.38
"Hendry County, FL"	"12051"	18800.73
"Hernando County, FL"	"12053"	18367.57
"Highlands County, FL"	"12055"	18906.14
"Hillsborough County, FL"	"12057"	18605.51
"Holmes County, FL"	"12059"	17548.85
"Indian River County, FL"	"12061"	19272.50
"Jackson County, FL"	"12063"	17586.08
"Jefferson County, FL"	"12065"	17824.12
"Lafayette County, FL"	"12067"	18491.22
"Lake County, FL"	"12069"	18342.91
"Lee County, FL"	"12071"	19210.16
"Leon County, FL"	"12073"	17718.28
"Levy County, FL"	"12075"	18244.95
"Liberty County, FL"	"12077"	17736.86
"Madison County, FL"	"12079"	17717.17
"Manatee County, FL"	"12081"	18746.69
"Marion County, FL"	"12083"	18094.00
"Martin County, FL"	"12085"	19130.36
"Monroe County, FL"	"12087"	20491.34
"Nassau County, FL"	"12089"	18216.73
"Okaloosa County, FL"	"12091"	17665.04
"Okeechobee County, FL"	"12093"	18779.05
"Orange County, FL"	"12095"	18745.97
"Osceola County, FL"	"12097"	18921.23
"Palm Beach County, FL"	"12099"	19069.18
"Pasco County, FL"	"12101"	18425.08
"Pinellas County, FL"	"12103"	19453.14
"Polk County, FL"	"12105"	18659.15
"Putnam County, FL"	"12107"	18066.92
"St. Johns County, FL"	"12109"	18931.14
"St. Lucie County, FL"	"12111"	19546.53
"Santa Rosa County, FL"	"12113"	17671.46
"Sarasota County, FL"	"12115"	18935.84
"Seminole County, FL"	"12117"	18351.04
"Sumter County, FL"	"12119"	18426.74
"Suwannee County, FL"	"12121"	17796.73
"Taylor County, FL"	"12123"	18733.48
"Union County, FL"	"12125"	17845.40
"Volusia County, FL"	"12127"	18750.74
"Wakulla County, FL"	"12129"	18517.90
"Walton County, FL"	"12131"	17656.15
"Washington County, FL"	"12133"	17556.85
"Appling County, GA"	"13001"	17634.10
"Atkinson County, GA"	"13003"	17722.73
"Bacon County, GA"	"13005"	17645.68
"Baker County, GA"	"13007"	17485.62
"Baldwin County, GA"	"13009"	17285.65
"Banks County, GA"	"13011"	16799.91
"Barrow County, GA"	"13013"	16796.74
"Bartow County, GA"	"13015"	16415.48
"Ben Hill County, GA"	"13017"	17617.57
"Berrien County, GA"	"13019"	17708.40
"Bibb County, GA"	"13021"	17247.13
"Bleckley County, GA"	"13023"	17445.74
"Brantley County, GA"	"13025"	17877.94
"Brooks County, GA"	"13027"	17760.96
"Bryan County, GA"	"13029"	18074.05
"Bulloch County, GA"	"13031"	17593.00
"Burke County, GA"	"13033"	17530.94
"Butts County, GA"	"13035"	17077.03
"Calhoun County, GA"	"13037"	17489.79
"Camden County, GA"	"13039"	18698.75
"Candler County, GA"	"13043"	17532.11
"Carroll County, GA"	"13045"	16686.99
"Catoosa County, GA"	"13047"	16236.66
"Charlton County, GA"	"13049"	17776.93
"Chatham County, GA"	"13051"	18627.15
"Chattahoochee County, GA"	"13053"	17235.81
"Chattooga County, GA"	"13055"	16247.75
"Cherokee County, GA"	"13057"	16487.17
"Clarke County, GA"	"13059"	16961.29
"Clay County, GA"	"13061"	17372.38
"Clayton County, GA"	"13063"	16906.07
"Clinch County, GA"	"13065"	17816.78
"Cobb County, GA"	"13067"	16523.78
"Coffee County, GA"	"13069"	17649.60
"Colquitt County, GA"	"13071"	17634.62
"Columbia County, GA"	"13073"	17301.74
"Cook County, GA"	"13075"	17727.04
"Coweta County, GA"	"13077"	16851.92
"Crawford County, GA"	"13079"	17132.48
"Crisp County, GA"	"13081"	17479.36
"Dade County, GA"	"13083"	16104.72
"Dawson County, GA"	"13085"	16547.06
"Decatur County, GA"	"13087"	17615.63
"DeKalb County, GA"	"13089"	16781.81
"Dodge County, GA"	"13091"	17571.93
"Dooly County, GA"	"13093"	17391.91
"Dougherty County, GA"	"13095"	17479.80
"Douglas County, GA"	"13097"	16667.60
"Early County, GA"	"13099"	17461.79
"Echols County, GA"	"13101"	17792.51
"Effingham County, GA"	"13103"	17748.53
"Elbert County, GA"	"13105"	17132.01
"Emanuel County, GA"	"13107"	17534.67
"Evans County, GA"	"13109"	17616.56
"Fannin County, GA"	"13111"	16042.46
"Fayette County, GA"	"13113"	16906.87
"Floyd County, GA"	"13115"	16325.03
"Forsyth County, GA"	"13117"	16665.36
"Franklin County, GA"	"13119"	16847.47
"Fulton County, GA"	"13121"	16706.37
"Gilmer County, GA"	"13123"	16113.60
"Glascock County, GA"	"13125"	17350.34
"Glynn County, GA"	"13127"	18682.12
"Gordon County, GA"	"13129"	16326.82
"Grady County, GA"	"13131"	17622.07
"Greene County, GA"	"13133"	17208.18
"Gwinnett County, GA"	"13135"	16745.94
"Habersham County, GA"	"13137"	16807.61
"Hall County, GA"	"13139"	16735.74
"Hancock County, GA"	"13141"	17279.53
"Haralson County, GA"	"13143"	16513.57
"Harris County, GA"	"13145"	17114.34
"Hart County, GA"	"13147"	16991.17
"Heard County, GA"	"13149"	16887.80
"Henry County, GA"	"13151"	17031.29
"Houston County, GA"	"13153"	17337.90
"Irwin County, GA"	"13155"	17661.39
"Jackson County, GA"	"13157"	16856.54
"Jasper County, GA"	"13159"	17143.95
"Jeff Davis County, GA"	"13161"	17588.94
"Jefferson County, GA"	"13163"	17436.53
"Jenkins County, GA"	"13165"	17584.28
"Johnson County, GA"	"13167"	17471.38
"Jones County, GA"	"13169"	17208.51
"Lamar County, GA"	"13171"	17096.94
"Lanier County, GA"	"13173"	17793.90
"Laurens County, GA"	"13175"	17511.42
"Lee County, GA"	"13177"	17428.13
"Liberty County, GA"	"13179"	18239.93
"Lincoln County, GA"	"13181"	17356.03
"Long County, GA"	"13183"	17822.31
"Lowndes County, GA"	"13185"	17802.58
"Lumpkin County, GA"	"13187"	16528.40
"McDuffie County, GA"	"13189"	17281.80
"McIntosh County, GA"	"13191"	18694.33
"Macon County, GA"	"13193"	17302.74
"Madison County, GA"	"13195"	17029.66
